__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2020-04-03,GOLD         ,03APR2020,44657.0,45800.0,43650.0,43701.0,43357.0,60,60.000 GRMS ,2647.98,28,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-04-01,GOLD         ,03APR2020,43261.0,43550.0,43080.0,43357.0,43255.0,14,14.000 GRMS ,607.0,69,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-31,GOLD         ,03APR2020,43799.0,43840.0,43130.0,43255.0,43842.0,73,73.000 GRMS ,3185.83,82,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-30,GOLD         ,03APR2020,43450.0,44190.0,43212.0,43842.0,43571.0,402,402.000 GRMS ,17554.89,106,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-27,GOLD         ,03APR2020,42800.0,43760.0,42800.0,43571.0,43542.0,4801,4801.000 GRMS ,208343.77,359,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-26,GOLD         ,03APR2020,42001.0,44535.0,41430.0,43542.0,42217.0,7069,7069.000 GRMS ,300701.61,1864,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-25,GOLD         ,03APR2020,41379.0,42785.0,40811.0,42217.0,41379.0,7591,7591.000 GRMS ,319173.55,3214,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-24,GOLD         ,03APR2020,42184.0,42184.0,39929.0,41379.0,41163.0,12735,12735.000 GRMS ,526259.07,4282,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-23,GOLD         ,03APR2020,40721.0,41310.0,39765.0,41163.0,40358.0,13219,13219.000 GRMS ,536995.55,4950,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-20,GOLD         ,03APR2020,39900.0,40948.0,39838.0,40358.0,39831.0,15280,15280.000 GRMS ,618084.07,5695,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-19,GOLD         ,03APR2020,39307.0,40099.0,39052.0,39831.0,39723.0,14770,14770.000 GRMS ,585513.39,6357,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-18,GOLD         ,03APR2020,40127.0,40447.0,39318.0,39723.0,40244.0,22185,22185.000 GRMS ,883090.17,6648,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-17,GOLD         ,03APR2020,39489.0,40934.0,38650.0,40244.0,39518.0,24015,24015.000 GRMS ,950584.22,6733,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-16,GOLD         ,03APR2020,40982.0,41199.0,38400.0,39518.0,40348.0,37152,37152.000 GRMS ,1474995.39,7006,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-13,GOLD         ,03APR2020,41750.0,42070.0,40055.0,40348.0,42206.0,25321,25321.000 GRMS ,1045096.11,8243,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-12,GOLD         ,03APR2020,43302.0,43637.0,41567.0,42206.0,43355.0,28695,28695.000 GRMS ,1226366.4,9522,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2020-03-11,GOLD         ,03APR2020,43744.0,43875.0,43275.0,43355.0,43740.0,14840,14840.000 GRMS ,647225.5,11168,,FUTCOM,0.0,-
