__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2021-06-04,GOLD         ,04JUN2021,48600.0,48600.0,48600.0,48769.0,48990.0,3,3.000 GRMS ,145.8,11,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-06-03,GOLD         ,04JUN2021,49163.0,49670.0,48570.0,48990.0,49154.0,14,14.000 GRMS ,686.56,14,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-06-02,GOLD         ,04JUN2021,49100.0,49220.0,49075.0,49154.0,48995.0,7,7.000 GRMS ,344.08,31,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-06-01,GOLD         ,04JUN2021,49049.0,49225.0,48710.0,48995.0,48821.0,71,71.000 GRMS ,3483.6,62,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-31,GOLD         ,04JUN2021,48690.0,48967.0,48540.0,48821.0,48542.0,1027,1027.000 GRMS ,50050.15,439,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-28,GOLD         ,04JUN2021,48432.0,48603.0,48250.0,48542.0,48581.0,5619,5619.000 GRMS ,272054.61,896,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-27,GOLD         ,04JUN2021,48751.0,48870.0,48451.0,48581.0,48784.0,7687,7687.000 GRMS ,374004.53,2593,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-26,GOLD         ,04JUN2021,49067.0,49220.0,48666.0,48784.0,48867.0,7206,7206.000 GRMS ,353260.13,4817,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-25,GOLD         ,04JUN2021,48425.0,48894.0,48333.0,48867.0,48553.0,8127,8127.000 GRMS ,395202.11,5474,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-24,GOLD         ,04JUN2021,48450.0,48640.0,48368.0,48553.0,48404.0,4345,4345.000 GRMS ,210926.47,5478,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-21,GOLD         ,04JUN2021,48336.0,48670.0,48230.0,48404.0,48544.0,6896,6896.000 GRMS ,334015.95,5721,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-20,GOLD         ,04JUN2021,48598.0,48665.0,48269.0,48544.0,48674.0,6107,6107.000 GRMS ,296126.57,6103,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-19,GOLD         ,04JUN2021,48261.0,48875.0,47950.0,48674.0,48307.0,10507,10507.000 GRMS ,508858.68,6196,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-18,GOLD         ,04JUN2021,48419.0,48490.0,48215.0,48307.0,48474.0,5736,5736.000 GRMS ,277320.98,6277,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-17,GOLD         ,04JUN2021,47989.0,48499.0,47910.0,48474.0,47676.0,8420,8420.000 GRMS ,405340.91,6596,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-14,GOLD         ,04JUN2021,47368.0,47711.0,47337.0,47676.0,47438.0,5880,5880.000 GRMS ,279706.59,7039,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-13,GOLD         ,04JUN2021,47356.0,47530.0,47211.0,47438.0,47482.0,3596,3596.000 GRMS ,170400.0,7496,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-12,GOLD         ,04JUN2021,47497.0,47862.0,47374.0,47482.0,47633.0,7496,7496.000 GRMS ,356720.44,7483,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-11,GOLD         ,04JUN2021,47952.0,48013.0,47325.0,47633.0,47951.0,9708,9708.000 GRMS ,463046.25,7887,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-10,GOLD         ,04JUN2021,47820.0,48144.0,47755.0,47951.0,47751.0,6988,6988.000 GRMS ,335309.86,9482,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-07,GOLD         ,04JUN2021,47654.0,48050.0,47520.0,47751.0,47595.0,10599,10599.000 GRMS ,506588.19,9761,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2021-05-06,GOLD         ,04JUN2021,47072.0,47643.0,47000.0,47595.0,47000.0,9942,9942.000 GRMS ,470450.99,10286,,FUTCOM,0.0,-
