__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2025-08-05,GOLD         ,05AUG2025,100900.0,100900.0,99600.0,100456.0,100316.0,22,22.000 GRMS ,2209.43,8,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-08-04,GOLD         ,05AUG2025,99171.0,100660.0,99171.0,100316.0,98787.0,56,56.000 GRMS ,5588.84,249,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-08-01,GOLD         ,05AUG2025,97986.0,99121.0,97700.0,98787.0,98087.0,32,32.000 GRMS ,3141.61,277,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-31,GOLD         ,05AUG2025,98106.0,98495.0,97900.0,98087.0,98067.0,214,214.000 GRMS ,21017.97,304,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-30,GOLD         ,05AUG2025,98500.0,98900.0,97899.0,98067.0,98261.0,1748,1748.000 GRMS ,172086.51,474,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-29,GOLD         ,05AUG2025,97627.0,98412.0,97580.0,98261.0,97545.0,6006,6006.000 GRMS ,588228.83,1716,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-28,GOLD         ,05AUG2025,97852.0,98120.0,97280.0,97545.0,97819.0,5914,5914.000 GRMS ,578128.94,4287,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-25,GOLD         ,05AUG2025,98582.0,98627.0,97744.0,97819.0,98726.0,9270,9270.000 GRMS ,909470.86,6236,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-24,GOLD         ,05AUG2025,99118.0,99118.0,98283.0,98726.0,99417.0,8558,8558.000 GRMS ,844941.03,7735,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-23,GOLD         ,05AUG2025,100453.0,100555.0,99230.0,99417.0,100329.0,11057,11057.000 GRMS ,1105835.87,9270,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-22,GOLD         ,05AUG2025,99300.0,100410.0,99101.0,100329.0,99328.0,9260,9260.000 GRMS ,923670.87,11130,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-21,GOLD         ,05AUG2025,98210.0,99491.0,98050.0,99328.0,98024.0,10182,10182.000 GRMS ,1006602.74,11300,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-18,GOLD         ,05AUG2025,97320.0,98157.0,97320.0,98024.0,97473.0,5632,5632.000 GRMS ,551222.81,10695,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-17,GOLD         ,05AUG2025,97511.0,97549.0,96829.0,97473.0,97788.0,8616,8616.000 GRMS ,837852.22,10606,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-16,GOLD         ,05AUG2025,97222.0,98282.0,97089.0,97788.0,97211.0,9773,9773.000 GRMS ,954328.67,10624,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-15,GOLD         ,05AUG2025,97887.0,98080.0,97025.0,97211.0,97775.0,8269,8269.000 GRMS ,807004.04,10720,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-14,GOLD         ,05AUG2025,97967.0,98450.0,97590.0,97775.0,97818.0,7625,7625.000 GRMS ,747581.28,11528,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-11,GOLD         ,05AUG2025,97252.0,98076.0,97151.0,97818.0,96691.0,11085,11085.000 GRMS ,1081307.39,12456,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-10,GOLD         ,05AUG2025,96548.0,96980.0,96444.0,96691.0,96461.0,5942,5942.000 GRMS ,574934.13,11957,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-09,GOLD         ,05AUG2025,96193.0,96566.0,95802.0,96461.0,96472.0,7590,7590.000 GRMS ,729940.71,12048,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-08,GOLD         ,05AUG2025,97172.0,97246.0,96012.0,96472.0,97270.0,9293,9293.000 GRMS ,897657.49,12293,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-07,GOLD         ,05AUG2025,96485.0,97330.0,96340.0,97270.0,96990.0,7543,7543.000 GRMS ,729523.25,12476,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-04,GOLD         ,05AUG2025,96735.0,97131.0,96735.0,96990.0,96782.0,3855,3855.000 GRMS ,373853.06,12379,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-03,GOLD         ,05AUG2025,97389.0,97780.0,96449.0,96782.0,97390.0,11920,11920.000 GRMS ,1156524.0,12083,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-02,GOLD         ,05AUG2025,97242.0,97486.0,97000.0,97390.0,97251.0,6436,6436.000 GRMS ,625997.56,12869,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-07-01,GOLD         ,05AUG2025,96471.0,97650.0,96471.0,97251.0,96075.0,10693,10693.000 GRMS ,1039101.31,13286,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-30,GOLD         ,05AUG2025,95492.0,96186.0,95380.0,96075.0,95470.0,11190,11190.000 GRMS ,1073166.78,13018,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-27,GOLD         ,05AUG2025,96261.0,96501.0,94951.0,95470.0,97087.0,16236,16236.000 GRMS ,1553052.13,14897,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-26,GOLD         ,05AUG2025,97600.0,97641.0,96562.0,97087.0,97357.0,11022,11022.000 GRMS ,1070558.25,13532,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-25,GOLD         ,05AUG2025,97311.0,97520.0,97015.0,97357.0,97023.0,6828,6828.000 GRMS ,664382.75,13529,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-24,GOLD         ,05AUG2025,98807.0,98807.0,96422.0,97023.0,99388.0,16856,16856.000 GRMS ,1641667.91,13422,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-23,GOLD         ,05AUG2025,99100.0,99830.0,98840.0,99388.0,99109.0,12948,12948.000 GRMS ,1286546.68,14786,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-20,GOLD         ,05AUG2025,98847.0,99198.0,98431.0,99109.0,99329.0,10507,10507.000 GRMS ,1038055.89,14737,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-19,GOLD         ,05AUG2025,99202.0,99565.0,98675.0,99329.0,99537.0,10038,10038.000 GRMS ,995537.37,14601,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-18,GOLD         ,05AUG2025,99372.0,99771.0,99110.0,99537.0,99541.0,9159,9159.000 GRMS ,911228.93,14950,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-17,GOLD         ,05AUG2025,98902.0,99650.0,98810.0,99541.0,99178.0,9216,9216.000 GRMS ,914498.97,14932,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-06-16,GOLD         ,05AUG2025,100470.0,101078.0,98825.0,99178.0,100276.0,12783,12783.000 GRMS ,1272697.25,15619,,FUTCOM,0.0,-
