__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2022-12-05,GOLD         ,05DEC2022,54348.0,54348.0,53217.0,53347.0,53265.0,12,12.000 GRMS ,643.57,31,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-12-02,GOLD         ,05DEC2022,53337.0,53458.0,53184.0,53265.0,53238.0,15,15.000 GRMS ,799.28,51,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-12-01,GOLD         ,05DEC2022,52838.0,53462.0,52819.0,53238.0,52480.0,46,46.000 GRMS ,2438.72,85,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-30,GOLD         ,05DEC2022,52509.0,52710.0,52380.0,52480.0,52308.0,160,160.000 GRMS ,8403.84,132,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-29,GOLD         ,05DEC2022,52247.0,52595.0,52247.0,52308.0,52173.0,1173,1173.000 GRMS ,61543.52,406,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-28,GOLD         ,05DEC2022,52421.0,52696.0,52141.0,52173.0,52544.0,5123,5123.000 GRMS ,268693.62,1207,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-25,GOLD         ,05DEC2022,52665.0,52750.0,52405.0,52544.0,52671.0,4168,4168.000 GRMS ,218975.54,3430,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-24,GOLD         ,05DEC2022,52500.0,52748.0,52500.0,52671.0,52451.0,3251,3251.000 GRMS ,171269.31,3909,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-23,GOLD         ,05DEC2022,52349.0,52475.0,52068.0,52451.0,52289.0,5004,5004.000 GRMS ,261748.46,4056,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-22,GOLD         ,05DEC2022,52475.0,52495.0,52237.0,52289.0,52292.0,4456,4456.000 GRMS ,233501.19,4351,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-21,GOLD         ,05DEC2022,52508.0,52590.0,52136.0,52292.0,52588.0,5397,5397.000 GRMS ,282653.59,4649,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-11-18,GOLD         ,05DEC2022,52843.0,52990.0,52547.0,52588.0,52843.0,4828,4828.000 GRMS ,254919.0,5282,,FUTCOM,0.0,-
