__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2018-02-05,GOLD         ,05FEB2018,30420.0,30420.0,30222.0,30335.0,30367.0,285,285.000 GRMS ,8630.57,606,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-02-02,GOLD         ,05FEB2018,30660.0,30720.0,30244.0,30367.0,30505.0,772,772.000 GRMS ,23571.39,947,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-02-01,GOLD         ,05FEB2018,30189.0,30570.0,30041.0,30505.0,30117.0,1535,1535.000 GRMS ,46558.39,1379,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-31,GOLD         ,05FEB2018,30069.0,30167.0,30052.0,30117.0,30052.0,5951,5951.000 GRMS ,179242.16,2219,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-30,GOLD         ,05FEB2018,29978.0,30170.0,29954.0,30052.0,30060.0,8577,8577.000 GRMS ,257905.09,3727,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-29,GOLD         ,05FEB2018,30150.0,30150.0,29980.0,30060.0,30361.0,6910,6910.000 GRMS ,207811.91,4330,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-25,GOLD         ,05FEB2018,30300.0,30464.0,30170.0,30361.0,30249.0,7039,7039.000 GRMS ,213548.94,5273,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-24,GOLD         ,05FEB2018,29935.0,30291.0,29916.0,30249.0,29911.0,9179,9179.000 GRMS ,276320.6,5859,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-23,GOLD         ,05FEB2018,29873.0,29932.0,29781.0,29911.0,29834.0,6740,6740.000 GRMS ,201368.59,5824,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-22,GOLD         ,05FEB2018,29699.0,29863.0,29699.0,29834.0,29755.0,7057,7057.000 GRMS ,210327.32,5958,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-19,GOLD         ,05FEB2018,29601.0,29780.0,29595.0,29755.0,29645.0,5567,5567.000 GRMS ,165437.94,6096,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-18,GOLD         ,05FEB2018,29650.0,29700.0,29550.0,29645.0,29757.0,6349,6349.000 GRMS ,188055.19,5949,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-17,GOLD         ,05FEB2018,29801.0,29829.0,29680.0,29757.0,29822.0,6266,6266.000 GRMS ,186509.76,5920,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2018-01-16,GOLD         ,05FEB2018,29799.0,29850.0,29740.0,29822.0,29752.0,7657,7657.000 GRMS ,228183.25,5915,,FUTCOM,0.0,-
