__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2022-10-04,GOLD         ,05OCT2022,51000.0,51480.0,50800.0,50456.0,50165.0,6,6.000 GRMS ,306.42,79,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-10-03,GOLD         ,05OCT2022,50250.0,50250.0,50130.0,50165.0,50094.0,5,5.000 GRMS ,250.83,118,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-30,GOLD         ,05OCT2022,49971.0,50689.0,49935.0,50094.0,49994.0,117,117.000 GRMS ,5877.46,182,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-29,GOLD         ,05OCT2022,49650.0,50130.0,49650.0,49994.0,49750.0,616,616.000 GRMS ,30707.6,191,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-28,GOLD         ,05OCT2022,49160.0,49890.0,48980.0,49750.0,49319.0,4715,4715.000 GRMS ,232642.91,719,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-27,GOLD         ,05OCT2022,49190.0,49499.0,49082.0,49319.0,49150.0,7051,7051.000 GRMS ,347797.26,2429,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-26,GOLD         ,05OCT2022,49350.0,49688.0,49105.0,49150.0,49401.0,7096,7096.000 GRMS ,350972.2,4740,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-23,GOLD         ,05OCT2022,50005.0,50057.0,49250.0,49401.0,50000.0,8074,8074.000 GRMS ,400452.33,5937,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-22,GOLD         ,05OCT2022,49314.0,50175.0,49314.0,50000.0,49443.0,8732,8732.000 GRMS ,435235.23,6673,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-21,GOLD         ,05OCT2022,49189.0,49569.0,49114.0,49443.0,49175.0,5546,5546.000 GRMS ,273977.79,7688,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-20,GOLD         ,05OCT2022,49400.0,49457.0,49100.0,49175.0,49302.0,4399,4399.000 GRMS ,216701.39,8787,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-19,GOLD         ,05OCT2022,49257.0,49410.0,49044.0,49302.0,49380.0,5380,5380.000 GRMS ,264763.24,8873,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2022-09-16,GOLD         ,05OCT2022,49220.0,49504.0,48951.0,49380.0,49312.0,7551,7551.000 GRMS ,371470.7,9395,,FUTCOM,0.0,-
